gfx,gpu_model,cu_num,mode,batch,total_q,total_k,max_seqlen_q,max_seqlen_k,min_seqlen_q,nhead_q,nhead_k,hdim_q,hdim_v,dtype,causal,window_left,window_right,sink_size,dropout_p,logits_soft_cap,how_v3_bf16_cvt,return_lse,return_attn_probs,has_bias,has_alibi,has_sink,has_block_table,has_q_descale,has_physical_padding,is_grad,backend,num_splits,backend_config
gfx942,mi325x,304,varlen,1,4096,42700,4096,42700,0,12,12,192,128,bfloat16,0,-1,-1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,asm_v3,3,
gfx942,mi325x,304,varlen,1,4096,42700,4096,42700,0,12,12,192,128,bfloat16,0,-1,-1,0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,asm_v3,3,
